timestamp,provider,model,duration_ms,ttft_ms,status,stop_reason,input_tokens,output_tokens,total_tokens,cost_usd,is_streaming,has_tools,has_thinking,preview_text
2026-05-04T03:00:45.407942,anthropic,claude-3-5-haiku-20241022,164.59417343139648,,success,,0,0,0,,False,False,False,quota
2026-05-04T03:00:47.965765,anthropic,claude-3-5-haiku-20241022,171.6592311859131,,success,,0,0,0,,False,False,False,quota
2026-05-04T03:00:54.266466,anthropic,claude-opus-4-20250514,6404.860258102417,1370.9220886230469,success,tool_use,2,269,271,0.0468225,True,True,False,"<system-reminder>
As you answer the user's questions, you can use the following context:
# important-instruction-reminders
Do what has been asked; nothing more, nothing less.
NEVER create files unless"
2026-05-04T03:00:54.578693,anthropic,claude-3-5-haiku-20241022,206.99548721313477,,success,,0,0,0,,False,False,False,quota
2026-05-04T03:00:58.738905,anthropic,claude-opus-4-20250514,4368.601322174072,1617.7196502685547,success,tool_use,5,202,207,0.04562475,True,True,False,"<system-reminder>
As you answer the user's questions, you can use the following context:
# important-instruction-reminders
Do what has been asked; nothing more, nothing less.
NEVER create files unless"
2026-05-04T03:00:59.009513,anthropic,claude-3-5-haiku-20241022,171.10133171081543,,success,,0,0,0,,False,False,False,quota
2026-05-04T03:01:27.807262,anthropic,claude-opus-4-20250514,28967.618465423584,2378.4661293029785,success,tool_use,5,1623,1628,0.1479945,True,True,False,"<system-reminder>
As you answer the user's questions, you can use the following context:
# important-instruction-reminders
Do what has been asked; nothing more, nothing less.
NEVER create files unless"
2026-05-04T03:01:28.133630,anthropic,claude-3-5-haiku-20241022,221.3153839111328,,success,,0,0,0,,False,False,False,quota
2026-05-04T03:01:51.508880,anthropic,claude-opus-4-20250514,23580.807209014893,2071.7577934265137,success,tool_use,6,1622,1628,0.17475675,True,True,False,"<system-reminder>
As you answer the user's questions, you can use the following context:
# important-instruction-reminders
Do what has been asked; nothing more, nothing less.
NEVER create files unless"
2026-05-04T03:01:51.908535,anthropic,claude-3-5-haiku-20241022,170.47858238220215,,success,,0,0,0,,False,False,False,quota
2026-05-04T03:02:16.193096,anthropic,claude-opus-4-20250514,24454.30612564087,1521.268367767334,success,tool_use,6,1642,1648,0.178758,True,True,False,"<system-reminder>
As you answer the user's questions, you can use the following context:
# important-instruction-reminders
Do what has been asked; nothing more, nothing less.
NEVER create files unless"
2026-05-04T03:02:16.559842,anthropic,claude-3-5-haiku-20241022,174.48711395263672,,success,,0,0,0,,False,False,False,quota
2026-05-04T03:02:23.728072,anthropic,claude-opus-4-20250514,7338.3612632751465,2136.361837387085,success,end_turn,6,157,163,0.070242,True,True,False,"<system-reminder>
As you answer the user's questions, you can use the following context:
# important-instruction-reminders
Do what has been asked; nothing more, nothing less.
NEVER create files unless"
